timestamp,open,high,low,close,volume
2026-07-13 03:45:00,246.3,247.5,245.55,246.42,1125149.0
2026-07-13 03:50:00,246.45,248.3,246.45,248.3,776488.0
2026-07-13 03:55:00,248.2,248.81,247.92,248.5,756008.0
2026-07-13 04:00:00,248.52,248.55,247.5,247.55,487221.0
2026-07-13 04:05:00,247.58,247.99,247.17,247.4,240621.0
2026-07-13 04:10:00,247.42,247.47,247.15,247.4,83786.0
2026-07-13 04:15:00,247.35,247.45,246.92,246.96,276893.0
2026-07-13 04:20:00,246.97,247.54,246.97,247.24,157840.0
2026-07-13 04:25:00,247.2,247.4,247.08,247.24,111661.0
2026-07-13 04:30:00,247.24,247.55,247.0,247.38,243619.0
2026-07-13 04:35:00,247.4,247.4,246.96,247.11,164518.0
2026-07-13 04:40:00,247.2,247.2,246.62,246.75,112576.0
2026-07-13 04:45:00,246.67,247.19,246.47,246.82,148823.0
2026-07-13 04:50:00,246.84,247.03,246.74,246.78,62664.0
2026-07-13 04:55:00,246.78,246.99,246.66,246.9,83178.0
2026-07-13 05:00:00,246.94,247.06,246.76,246.83,63768.0
2026-07-13 05:05:00,246.73,246.83,246.65,246.74,67427.0
2026-07-13 05:10:00,246.77,246.9,246.74,246.85,28248.0
2026-07-13 05:15:00,246.85,247.06,246.74,247.05,65843.0
2026-07-13 05:20:00,247.06,247.08,246.42,246.87,125091.0
2026-07-13 05:25:00,246.87,247.19,246.82,247.04,110483.0
2026-07-13 05:30:00,247.0,247.32,247.0,247.1,69320.0
2026-07-13 05:35:00,247.06,247.5,247.01,247.36,141623.0
2026-07-13 05:40:00,247.24,247.4,246.96,247.0,64764.0
2026-07-13 05:45:00,246.95,247.5,246.93,247.5,56876.0
2026-07-13 05:50:00,247.5,248.2,247.45,248.02,235016.0
2026-07-13 05:55:00,248.03,248.05,247.7,247.7,170081.0
2026-07-13 06:00:00,247.76,247.89,247.55,247.6,125590.0
2026-07-13 06:05:00,247.6,248.0,247.12,247.98,515490.0
2026-07-13 06:10:00,247.98,247.98,247.57,247.6,38840.0
2026-07-13 06:15:00,247.6,247.77,247.46,247.51,50840.0
2026-07-13 06:20:00,247.51,247.58,247.38,247.4,23099.0
2026-07-13 06:25:00,247.4,247.43,247.21,247.35,27514.0
2026-07-13 06:30:00,247.35,247.5,247.31,247.31,29469.0
2026-07-13 06:35:00,247.31,247.31,247.06,247.22,31066.0
2026-07-13 06:40:00,247.22,247.31,247.0,247.1,79032.0
2026-07-13 06:45:00,247.1,247.1,246.82,246.93,45792.0
2026-07-13 06:50:00,246.87,247.2,246.85,246.88,62805.0
2026-07-13 06:55:00,246.94,247.12,246.86,247.05,28264.0
2026-07-13 07:00:00,247.05,247.4,246.8,247.36,106314.0
2026-07-13 07:05:00,247.36,247.46,247.29,247.33,37145.0
2026-07-13 07:10:00,247.39,247.5,247.33,247.4,42725.0
2026-07-13 07:15:00,247.4,247.46,247.08,247.25,31610.0
2026-07-13 07:20:00,247.25,247.5,247.05,247.34,74865.0
2026-07-13 07:25:00,247.27,247.67,247.17,247.67,228968.0
2026-07-13 07:30:00,247.65,247.74,247.51,247.74,99778.0
2026-07-13 07:35:00,247.7,247.78,247.53,247.62,158986.0
2026-07-13 07:40:00,247.62,247.66,247.52,247.53,20929.0
2026-07-13 07:45:00,247.52,248.0,247.48,247.77,162962.0
