timestamp,open,high,low,close,volume
2026-01-19 03:45:00,679.35,679.35,385.9,431.55,201450
2026-01-19 03:50:00,427.75,433.35,405.5,405.5,121590
2026-01-19 03:55:00,404.2,468.8,398.35,399.4,116640
2026-01-19 04:00:00,451.6,451.8,380.35,410.45,155550
2026-01-19 04:05:00,410.35,460.0,400.7,421.2,133530
2026-01-19 04:10:00,421.4,473.0,401.3,458.55,114810
2026-01-19 04:15:00,405.8,461.4,385.55,405.85,135030
2026-01-19 04:20:00,460.75,460.8,395.25,419.35,107850
2026-01-19 04:25:00,419.4,435.9,417.5,422.85,95040
2026-01-19 04:30:00,478.9,479.4,442.4,464.75,85140
2026-01-19 04:35:00,464.35,466.75,406.15,420.0,67740
2026-01-19 04:40:00,421.5,428.0,413.65,426.5,57030
2026-01-19 04:45:00,426.7,435.7,416.4,432.0,74460
2026-01-19 04:50:00,431.5,449.0,421.6,447.8,74340
2026-01-19 04:55:00,448.4,449.1,413.2,441.8,76680
2026-01-19 05:00:00,440.15,447.5,388.65,443.65,85950
2026-01-19 05:05:00,441.3,443.65,429.0,429.0,36750
2026-01-19 05:10:00,429.05,439.2,420.65,432.1,49860
2026-01-19 05:15:00,432.45,439.5,427.45,432.9,29490
2026-01-19 05:20:00,432.0,449.5,431.55,449.5,69600
2026-01-19 05:25:00,449.85,455.0,395.65,407.1,78210
2026-01-19 05:30:00,408.6,420.15,395.0,408.5,121860
2026-01-19 05:35:00,409.15,444.7,385.0,436.65,73080
2026-01-19 05:40:00,437.55,442.0,428.2,440.65,57270
2026-01-19 05:45:00,441.4,444.75,433.75,437.05,36390
2026-01-19 05:50:00,435.0,452.15,389.05,445.5,46200
2026-01-19 05:55:00,443.2,445.5,432.65,443.1,32880
2026-01-19 06:00:00,441.65,446.0,438.05,444.55,19260
2026-01-19 06:05:00,444.4,451.0,437.55,449.1,31500
2026-01-19 06:10:00,449.5,449.5,388.9,395.9,20550
2026-01-19 06:15:00,450.05,454.5,391.0,400.7,36210
2026-01-19 06:20:00,402.0,413.25,396.05,407.05,55380
2026-01-19 06:25:00,406.45,450.0,392.65,435.15,62370
2026-01-19 06:30:00,434.0,435.15,419.15,428.6,81090
2026-01-19 06:35:00,430.45,436.75,427.0,430.2,24360
2026-01-19 06:40:00,430.4,439.8,382.0,392.15,41730
2026-01-19 06:45:00,393.2,433.5,391.9,420.15,167160
2026-01-19 06:50:00,421.05,430.55,404.8,408.05,95550
2026-01-19 06:55:00,405.95,410.95,399.05,408.9,56760
2026-01-19 07:00:00,409.8,416.0,401.15,401.85,43740
2026-01-19 07:05:00,401.5,406.2,392.75,399.25,51210
2026-01-19 07:10:00,401.2,414.7,398.3,413.45,46530
2026-01-19 07:15:00,413.6,417.45,396.0,405.0,62190
2026-01-19 07:20:00,405.55,420.0,367.4,379.45,90390
2026-01-19 07:25:00,379.6,389.95,372.9,382.0,83820
2026-01-19 07:30:00,381.25,384.7,374.1,378.25,50820
2026-01-19 07:35:00,377.7,392.85,374.1,381.5,79800
2026-01-19 07:40:00,435.9,437.25,358.65,370.5,103080
2026-01-19 07:45:00,423.3,428.45,370.95,380.8,35550
2026-01-19 07:50:00,380.45,399.65,379.95,382.0,103680
2026-01-19 07:55:00,382.65,385.75,369.4,374.8,44310
2026-01-19 08:00:00,377.0,440.1,374.8,417.35,57810
2026-01-19 08:05:00,417.35,420.6,399.0,411.0,92190
2026-01-19 08:10:00,410.5,419.6,407.7,419.6,61500
2026-01-19 08:15:00,418.95,431.85,365.85,393.95,87030
2026-01-19 08:20:00,393.8,470.7,358.05,445.95,437220
2026-01-19 08:25:00,392.35,464.05,392.1,404.85,90810
2026-01-19 08:30:00,407.75,425.9,404.45,414.1,95520
2026-01-19 08:35:00,411.65,420.0,405.5,413.1,59190
2026-01-19 08:40:00,413.4,455.0,392.85,446.85,58530
