timestamp,open,high,low,close,volume
2026-01-19 03:45:00,233.7,267.05,158.2,178.8,769275
2026-01-19 03:50:00,175.35,178.8,165.45,165.45,509340
2026-01-19 03:55:00,192.0,197.7,186.7,186.7,109720
2026-01-19 04:00:00,186.45,194.9,164.1,173.5,335855
2026-01-19 04:05:00,173.1,197.9,167.35,188.7,315250
2026-01-19 04:10:00,187.65,193.35,183.85,189.65,114335
2026-01-19 04:15:00,188.85,192.4,184.15,189.45,96915
2026-01-19 04:20:00,188.55,197.75,161.2,178.75,193440
2026-01-19 04:25:00,178.85,186.0,178.0,178.8,80340
2026-01-19 04:30:00,206.55,207.05,190.0,191.95,622570
2026-01-19 04:35:00,191.2,192.3,160.9,171.4,219440
2026-01-19 04:40:00,170.65,172.65,167.25,170.9,63050
2026-01-19 04:45:00,170.35,177.25,168.85,174.0,83850
2026-01-19 04:50:00,174.45,182.05,170.0,177.55,124280
2026-01-19 04:55:00,177.75,198.9,170.65,188.55,349895
2026-01-19 05:00:00,188.55,197.7,166.95,191.45,247520
2026-01-19 05:05:00,190.7,194.2,188.0,188.6,200070
2026-01-19 05:10:00,188.4,197.8,185.45,193.05,272935
2026-01-19 05:15:00,166.75,198.5,166.05,195.55,100815
2026-01-19 05:20:00,195.2,198.5,195.0,198.45,125255
2026-01-19 05:25:00,170.05,182.55,170.05,180.6,119210
2026-01-19 05:30:00,180.5,192.5,177.7,189.1,157170
2026-01-19 05:35:00,189.7,191.45,178.2,179.25,86190
2026-01-19 05:40:00,180.1,180.9,168.85,175.4,100100
2026-01-19 05:45:00,175.05,198.0,169.0,196.25,68965
2026-01-19 05:50:00,195.8,200.5,168.85,196.75,218920
2026-01-19 05:55:00,196.55,198.25,192.4,197.15,133900
2026-01-19 06:00:00,196.6,198.9,192.1,197.75,133185
2026-01-19 06:05:00,197.55,202.55,171.1,178.15,115635
2026-01-19 06:10:00,178.15,181.45,173.25,180.6,63310
2026-01-19 06:15:00,180.75,180.95,173.5,178.05,47060
2026-01-19 06:20:00,178.1,181.2,173.0,179.65,49335
2026-01-19 06:25:00,178.1,179.65,165.15,170.7,77805
2026-01-19 06:30:00,169.55,196.5,165.3,192.35,111020
2026-01-19 06:35:00,192.55,194.45,190.5,192.8,126490
2026-01-19 06:40:00,192.0,195.9,165.1,171.0,89245
2026-01-19 06:45:00,171.0,187.05,170.55,180.65,138255
2026-01-19 06:50:00,179.85,182.2,167.25,168.1,74165
2026-01-19 06:55:00,168.2,196.05,164.6,167.1,118105
2026-01-19 07:00:00,167.25,168.5,164.0,164.7,35425
2026-01-19 07:05:00,192.55,193.9,189.55,190.0,146380
2026-01-19 07:10:00,190.25,194.65,165.15,166.9,97500
2026-01-19 07:15:00,167.0,195.0,165.75,192.6,175370
2026-01-19 07:20:00,192.85,192.85,163.8,173.75,116025
2026-01-19 07:25:00,173.9,179.8,173.5,177.9,85540
2026-01-19 07:30:00,178.0,179.65,173.4,177.5,74165
2026-01-19 07:35:00,177.7,184.5,176.15,177.7,100230
2026-01-19 07:40:00,177.9,177.95,161.7,167.15,112645
2026-01-19 07:45:00,167.9,173.85,165.2,173.85,84565
2026-01-19 07:50:00,174.0,176.0,168.8,169.05,66300
2026-01-19 07:55:00,169.25,195.75,165.6,167.75,54470
2026-01-19 08:00:00,167.6,178.55,167.6,176.35,68965
2026-01-19 08:05:00,175.8,179.55,173.6,178.4,67990
2026-01-19 08:10:00,178.45,179.4,172.0,175.35,56875
2026-01-19 08:15:00,175.4,184.05,154.2,165.75,256945
2026-01-19 08:20:00,166.5,180.0,164.35,174.25,1018355
2026-01-19 08:25:00,174.25,181.85,171.6,174.85,585650
2026-01-19 08:30:00,175.15,192.45,174.85,190.65,701935
2026-01-19 08:35:00,162.5,196.05,160.7,186.1,367185
2026-01-19 08:40:00,187.0,190.3,171.05,173.75,458965
2026-01-19 08:45:00,174.1,185.15,171.3,185.05,381355
2026-01-19 08:50:00,185.1,186.25,180.0,182.15,347165
2026-01-19 08:55:00,182.15,182.95,170.5,172.15,239200
2026-01-19 09:00:00,173.65,180.0,172.15,176.45,189020
2026-01-19 09:05:00,175.15,182.0,171.05,181.0,216320
2026-01-19 09:10:00,181.15,184.55,173.35,180.85,331045
2026-01-19 09:15:00,180.6,187.85,178.05,183.7,330590
2026-01-19 09:20:00,183.0,185.25,154.25,158.35,288535
2026-01-19 09:25:00,186.0,188.8,151.6,154.1,268060
2026-01-19 09:30:00,154.9,183.35,153.1,172.55,420810
2026-01-19 09:35:00,171.9,172.55,162.8,164.35,467415
2026-01-19 09:40:00,163.45,164.8,159.5,162.0,437580
2026-01-19 09:45:00,161.95,181.95,153.65,178.2,387985
2026-01-19 09:50:00,178.15,178.55,166.15,169.05,167960
2026-01-19 09:55:00,169.0,169.4,163.4,167.65,185055
2026-01-20 03:45:00,174.95,180.85,145.8,170.1,737230
2026-01-20 03:50:00,169.55,189.8,158.0,178.5,665210
2026-01-20 03:55:00,178.15,183.25,166.05,167.5,966615
2026-01-20 04:00:00,167.45,178.0,165.25,168.1,1044160
2026-01-20 04:05:00,168.3,193.0,163.85,183.85,346450
2026-01-20 04:10:00,184.35,191.95,181.9,187.65,232570
2026-01-20 04:15:00,187.45,190.25,182.8,185.1,153920
2026-01-20 04:20:00,185.15,188.35,171.2,171.3,230555
2026-01-20 04:25:00,171.2,186.2,170.75,184.65,267800
2026-01-20 04:30:00,184.05,189.0,180.9,187.9,199745
2026-01-20 04:35:00,187.6,190.5,160.05,163.05,456820
2026-01-20 04:40:00,163.2,191.95,162.0,185.95,301925
2026-01-20 04:45:00,187.15,189.4,159.55,165.25,436670
2026-01-20 04:50:00,165.0,168.15,159.75,159.8,688740
2026-01-20 04:55:00,160.0,163.7,155.65,160.05,506220
2026-01-20 05:00:00,160.2,189.1,156.15,158.85,264160
2026-01-20 05:05:00,186.7,186.7,156.0,168.75,816010
2026-01-20 05:10:00,168.7,171.3,160.7,161.15,477360
2026-01-20 05:15:00,162.0,164.4,158.1,159.9,364325
2026-01-20 05:20:00,160.65,186.25,158.0,180.35,192205
2026-01-20 05:25:00,180.3,181.05,174.8,177.1,125580
2026-01-20 05:30:00,177.5,177.5,169.25,172.45,141570
2026-01-20 05:35:00,172.0,173.0,168.7,169.3,108810
2026-01-20 05:40:00,169.85,172.45,168.55,170.65,98735
2026-01-20 05:45:00,170.3,178.4,167.15,169.85,191815
2026-01-20 05:50:00,171.0,174.45,169.5,172.6,124800
2026-01-20 05:55:00,172.45,179.45,170.7,177.95,143195
2026-01-20 06:00:00,177.4,180.65,172.0,174.85,134680
2026-01-20 06:05:00,175.3,180.0,174.5,177.65,82355
2026-01-20 06:10:00,177.7,180.5,175.8,178.5,109915
2026-01-20 06:15:00,178.65,179.95,173.4,179.6,80340
2026-01-20 06:20:00,180.3,180.8,149.0,155.9,565175
2026-01-20 06:25:00,156.0,180.9,146.55,177.0,400595
2026-01-20 06:30:00,176.95,177.1,164.15,166.55,217750
2026-01-20 06:35:00,167.15,167.15,153.8,154.85,266175
2026-01-20 06:40:00,154.65,159.7,153.55,158.65,270400
2026-01-20 06:45:00,159.0,161.45,157.25,157.8,265720
2026-01-20 06:50:00,157.6,181.7,152.35,154.85,277680
2026-01-20 06:55:00,182.65,182.8,154.15,159.7,171210
2026-01-20 07:00:00,159.3,159.75,154.35,154.55,112060
2026-01-20 07:05:00,181.4,183.45,154.45,182.55,148330
2026-01-20 07:10:00,182.2,183.35,173.0,177.2,398840
2026-01-20 07:15:00,177.4,182.5,173.55,181.8,454350
2026-01-20 07:20:00,154.45,182.4,153.55,156.4,181350
2026-01-20 07:25:00,155.7,159.55,154.55,157.9,153725
2026-01-20 07:30:00,157.35,183.45,154.15,182.0,153595
2026-01-20 07:35:00,181.3,182.1,177.0,179.35,165945
2026-01-20 07:40:00,152.4,183.1,152.0,178.0,147290
2026-01-20 07:45:00,177.45,180.45,175.0,179.15,269750
2026-01-20 07:50:00,152.35,187.45,151.75,181.15,258440
2026-01-20 07:55:00,180.6,183.0,179.0,180.0,135070
2026-01-20 08:00:00,180.05,180.75,168.15,168.55,444145
2026-01-20 08:05:00,168.45,168.55,156.8,159.2,1011400
2026-01-20 08:10:00,187.45,187.45,155.5,184.3,394810
2026-01-20 08:15:00,184.0,185.3,180.0,182.9,103740
2026-01-20 08:20:00,182.0,187.0,181.6,182.95,142480
2026-01-20 08:25:00,183.7,186.8,155.55,185.6,205920
2026-01-20 08:30:00,185.3,185.95,144.0,153.0,356655
2026-01-20 08:35:00,180.15,180.95,173.45,175.55,177125
2026-01-20 08:40:00,175.45,179.6,172.0,177.55,163280
2026-01-20 08:45:00,177.45,182.2,176.95,176.95,174720
2026-01-20 08:50:00,177.1,182.5,175.15,181.75,132990
2026-01-20 08:55:00,154.6,164.0,153.9,163.2,810160
2026-01-20 09:00:00,162.65,164.7,158.05,159.25,726765
2026-01-20 09:05:00,188.05,189.05,178.0,178.15,166140
2026-01-20 09:10:00,179.25,179.95,167.15,170.2,369265
2026-01-20 09:15:00,170.5,172.8,169.0,169.05,225160
2026-01-20 09:20:00,169.0,170.25,156.3,159.55,439335
2026-01-20 09:25:00,159.45,184.5,156.1,171.75,583960
2026-01-20 09:30:00,171.3,193.4,153.3,154.45,1195740
2026-01-20 09:35:00,154.8,181.8,153.55,174.3,860405
2026-01-20 09:40:00,173.7,187.4,155.9,179.0,758420
2026-01-20 09:45:00,153.4,192.75,152.9,183.0,1014325
2026-01-20 09:50:00,183.1,184.4,179.2,179.2,807235
